"","UNICODE","ESTA_CUANTIS","ESTA_SENSIS","ESTA_ESTRATEGIAS","T_Cuantis","C_Cuantis","R_Cuantis","DES_Cuantis","LV_Cuantis","LP_Cuantis","P_Sensis","RP_Sensis","C_Sensis","R_Sensis","DES_Sensis","LV_Sensis","LP_Sensis","V_Sensis","LATITUD","LONGITUD","LOCALIDAD","MZ","ESTRATEGIA","CLUSTER","CUADRUPLET","STATUS_C1_MINSA","in_tri_C1","pe_tri_C1","pos_C1","STATUS_C2_MINSA","in_tri_C2","pe_tri_C2","pos_C2","T","R","C","DES","LP","LV","P","V","STATUS","BD_MINSA","PROG_OLVIDO","FECHA_CUANTI","APERTURADA_DIA","DIAS_PRI_VISITA_TRAT","DIAS_PRI_PROG_TRAT","VIV_PROG_NUNCA_TRAT","MINUTOS_ROCIADO","ETAPA_ROCIADO","sampleA","sampleB","sampleC","sampleD","sampleE","sampleF","NUMRES","IN_AMB","ESTRATEGIA2"
"1","1.1.13.1",1,1,1,0,1,0,0,0,0,2,0,2,0,0,0,0,2,-16.3774527351453,-71.5265934701132,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"C",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,1,6,13,"Control"
"2","1.1.13.10",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.3770428513586,-71.5260742817134,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-06",0,3,3,NA,34,"ataque",1,1,1,1,1,1,5,4,"Control"
"3","1.1.13.100",1,1,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,-16.3778988502078,-71.5252285942717,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,1,0,0,0,0,1,0,0,"2015-07-08",0,2,1,NA,30,"ataque",1,1,0,0,0,0,3,3,"Control"
"4","1.1.13.101",1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,-16.3779589102241,-71.5252703670754,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-16",0,10,0,NA,79,"ataque",1,1,1,1,1,1,1,2,"Control"
"5","1.1.13.102",0,1,1,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,2,-16.3780375469705,-71.5253061394724,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"R",NA,NA,0,"C",NA,NA,NA,0,0,1,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,NA,NA,"Control"
"6","1.1.13.103",1,1,1,0,1,0,0,0,0,1,0,3,1,0,0,0,2,-16.3780922034134,-71.5253421254114,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"R",NA,NA,0,"C",NA,NA,NA,0,1,1,0,0,0,0,0,2,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,0,NA,NA,"Control"
"7","1.1.13.104",1,1,1,0,1,0,0,0,0,1,0,5,0,0,0,0,1,-16.3781594814644,-71.5253808885308,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"R",NA,NA,0,"C",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,0,NA,NA,"Control"
"8","1.1.13.105",1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,-16.378220735728,-71.5254207191065,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-16",0,7,3,NA,51,"ataque",1,1,1,1,1,1,3,6,"Control"
"9","1.1.13.106",1,1,1,0,2,0,0,0,0,2,1,1,0,0,0,0,2,-16.3782830881607,-71.5254703069167,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"R",NA,NA,0,"R",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,0,NA,NA,"Control"
"10","1.1.13.107",1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,-16.3783447565318,-71.5255145378704,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"R",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-13",0,5,5,NA,64,"ataque",1,1,1,1,1,0,NA,NA,"Control"
"11","1.1.13.108",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.3783879347037,-71.5255694100194,"ASOCIACION VILLA EL MIRADOR",5,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-06",1,0,0,NA,66,"ataque",1,1,1,1,1,1,5,14,"Control"
"12","1.1.13.109",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-16.3773831059381,-71.5248773540292,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",1,1,0,NA,30,"ataque",1,1,1,1,1,1,3,4,"Comm.Leaders"
"13","1.1.13.11",1,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,3,-16.3769932226449,-71.5260259712417,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-28",1,56,0,NA,40,"fuera de tiempo",1,1,1,1,1,1,10,13,"Control"
"14","1.1.13.110",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-16.3773376400558,-71.5249661204263,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-09-01",1,54,0,NA,50,"fuera de tiempo",1,1,1,1,1,1,3,6,"Comm.Leaders"
"15","1.1.13.111",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.3772951466136,-71.525062503458,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,49,"ataque",1,1,1,1,1,1,3,11,"Comm.Leaders"
"16","1.1.13.112",1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-16.3772524028206,-71.525036830961,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,41,"ataque",1,1,1,1,1,1,4,5,"Comm.Leaders"
"17","1.1.13.113",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-16.3772034768006,-71.5250164823172,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"C",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",1,1,0,NA,103,"ataque",1,1,1,1,1,0,NA,NA,"Comm.Leaders"
"18","1.1.13.114",1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,-16.3771603105039,-71.5249815918509,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-17",0,8,7,NA,54,"ataque",1,1,1,1,1,1,5,6,"Comm.Leaders"
"19","1.1.13.115",0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-16.3770997030717,-71.5249337467107,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,0,0,0,0,0,0,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,10,"Comm.Leaders"
"20","1.1.13.116",0,1,1,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,0,-16.3770414195748,-71.5248987563028,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,5,9,"Comm.Leaders"
"21","1.1.13.117",1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,-16.3769663281501,-71.5248440014467,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-15",0,6,6,NA,80,"ataque",1,1,1,1,1,1,1,22,"Comm.Leaders"
"22","1.1.13.118",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,-16.3768537476691,-71.524768653028,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",0,4,3,NA,30,"ataque",1,1,1,1,1,1,4,4,"Comm.Leaders"
"23","1.1.13.119",1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,-16.3767391903212,-71.5246890366922,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-10",1,1,0,NA,68,"ataque",1,1,1,1,1,1,4,13,"Comm.Leaders"
"24","1.1.13.12",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.3769368751054,-71.5259481796514,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-06",0,3,3,NA,54,"ataque",1,1,1,1,1,1,5,7,"Control"
"25","1.1.13.120",1,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,1,-16.3766767164748,-71.5246353697825,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"R",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",0,24,2,NA,90,"domingos",1,1,1,1,1,0,NA,NA,"Comm.Leaders"
"26","1.1.13.121",1,1,1,1,0,0,0,0,0,2,0,4,0,0,0,0,1,-16.3766133049157,-71.5245832621514,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",1,24,0,NA,62,"domingos",1,1,1,1,1,1,3,14,"Comm.Leaders"
"27","1.1.13.122",1,1,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,-16.3767019977406,-71.5244597532463,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"LV",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",1,24,0,NA,36,"domingos",1,1,1,1,1,0,NA,NA,"Comm.Leaders"
"28","1.1.13.123",1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,-16.3767558716764,-71.5244878077528,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-10",1,1,0,NA,71,"ataque",1,1,1,1,1,1,5,6,"Comm.Leaders"
"29","1.1.13.124",0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,0,0,-16.3768212279367,-71.5245220886565,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,1,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,7,9,"Comm.Leaders"
"30","1.1.13.125",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,-16.3768943989026,-71.5245626486845,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",0,4,3,NA,67,"ataque",1,1,1,1,1,1,7,7,"Comm.Leaders"
"31","1.1.13.126",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,-16.3769488694038,-71.5246043452469,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,75,"ataque",1,1,1,1,1,1,6,14,"Comm.Leaders"
"32","1.1.13.127",1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,-16.3770116438915,-71.5246373167299,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-10",1,1,0,NA,49,"ataque",1,1,1,1,1,1,3,3,"Comm.Leaders"
"33","1.1.13.128",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,-16.3770718871417,-71.5246733610951,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,68,"ataque",1,1,1,1,1,1,6,12,"Comm.Leaders"
"34","1.1.13.129",1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,-16.3771595218619,-71.5247282373007,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-16",0,7,7,NA,62,"ataque",1,1,1,1,1,1,8,12,"Comm.Leaders"
"35","1.1.13.13",1,1,1,1,3,0,0,0,0,1,2,3,1,0,0,0,2,-16.3768776472412,-71.5258850264567,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-07-14",0,11,11,NA,54,"ataque",1,1,1,1,1,1,7,12,"Control"
"36","1.1.13.130",1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,-16.3772026304278,-71.5247664765275,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,46,"ataque",1,1,1,1,1,1,3,5,"Comm.Leaders"
"37","1.1.13.131",1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,-16.3772663165737,-71.524806855193,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-22",1,13,0,NA,47,"fuera de tiempo",1,1,1,1,1,1,1,4,"Comm.Leaders"
"38","1.1.13.132",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.3773182837549,-71.5248455002646,"ASOCIACION VILLA EL MIRADOR",6,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-10",0,1,1,NA,55,"ataque",1,1,1,1,1,1,5,5,"Comm.Leaders"
"39","1.1.13.133",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.3771128207638,-71.5252853161041,"ASOCIACION VILLA EL MIRADOR",7,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-09",1,0,0,NA,41,"ataque",1,1,1,1,1,1,1,11,"Comm.Leaders"
"40","1.1.13.134",0,1,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,-16.3766131748843,-71.5247988211198,"ASOCIACION VILLA EL MIRADOR",7,"Comm.Leaders",6,5,"LP",NA,NA,0,"LP",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,NA,NA,"Comm.Leaders"
"41","1.1.13.135",0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,-16.3764282422774,-71.5247872347533,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"R",NA,NA,0,"R",NA,NA,NA,0,1,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,"Comm.Leaders"
"42","1.1.13.136",1,1,1,0,3,0,0,0,0,2,0,7,0,0,0,0,1,-16.3764549121871,-71.5248539417849,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,1,5,11,"Comm.Leaders"
"43","1.1.13.137",1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,-16.3765037961073,-71.5249096888911,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",1,4,4,NA,46,"ataque",1,1,1,1,1,1,4,9,"Comm.Leaders"
"44","1.1.13.138",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-16.3765324684107,-71.5249585375619,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",1,4,0,NA,64,"ataque",1,1,1,1,1,1,3,5,"Comm.Leaders"
"45","1.1.13.139",1,1,1,1,2,0,0,0,0,1,3,3,0,0,0,0,2,-16.3765719617154,-71.5250412482426,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-13",0,35,35,NA,75,"fuera de tiempo",1,1,1,1,1,1,3,10,"Comm.Leaders"
"46","1.1.13.14",1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-16.3770126127457,-71.525771525844,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-07-08",1,5,2,NA,41,"ataque",1,1,1,1,1,1,7,7,"Control"
"47","1.1.13.140",1,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,-16.3765996244659,-71.5251148949765,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-14",0,5,1,NA,123,"ataque",1,1,1,1,1,1,4,17,"Comm.Leaders"
"48","1.1.13.141",1,1,1,1,0,0,0,0,0,1,1,3,0,0,0,0,1,-16.3766384211883,-71.5251836268766,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"C",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",1,24,0,NA,86,"domingos",1,1,1,1,1,0,NA,NA,"Comm.Leaders"
"49","1.1.13.142",1,1,1,1,1,0,0,0,0,2,0,2,0,0,0,0,2,-16.3766788913029,-71.5252327477873,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-20",0,11,4,NA,47,"fuera de tiempo",1,1,1,1,1,1,7,14,"Comm.Leaders"
"50","1.1.13.143",1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,-16.3767205897664,-71.5252916789333,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-13",0,4,4,NA,49,"ataque",1,1,1,1,1,1,1,1,"Comm.Leaders"
"51","1.1.13.144",1,1,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,-16.37675565753,-71.5253652178591,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,1,0,0,0,0,1,0,0,"2015-08-02",0,24,2,NA,72,"domingos",1,1,0,0,0,0,1,10,"Comm.Leaders"
"52","1.1.13.145",1,1,1,1,2,0,0,0,0,1,3,0,0,0,0,0,0,-16.3767898374153,-71.5254419117687,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-15",0,6,6,NA,72,"ataque",1,1,1,1,1,1,5,14,"Comm.Leaders"
"53","1.1.13.146",1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-16.3768267008387,-71.525502228006,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",0,4,4,NA,39,"ataque",1,1,1,1,1,1,4,5,"Comm.Leaders"
"54","1.1.13.147",1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,-16.3768661492831,-71.5255519152715,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-17",0,8,1,NA,51,"ataque",1,1,1,1,1,1,5,5,"Comm.Leaders"
"55","1.1.13.148",1,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,-16.3769171899121,-71.5256206436833,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-07-15",1,6,6,NA,53,"ataque",1,1,1,1,1,1,3,10,"Comm.Leaders"
"56","1.1.13.149",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,-16.3768380301066,-71.5256790165679,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",1,18,0,NA,40,"domingos",1,1,1,1,1,1,5,10,"Comm.Leaders"
"57","1.1.13.15",1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,-16.3770720158978,-71.525818046498,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-22",0,19,9,NA,53,"fuera de tiempo",1,1,1,1,1,1,7,3,"Control"
"58","1.1.13.150",1,1,1,1,2,0,0,0,0,1,3,3,0,0,0,0,0,-16.3767559746955,-71.5257552203236,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-17",0,7,7,NA,45,"ataque",1,1,1,1,1,1,8,17,"Comm.Leaders"
"59","1.1.13.151",0,1,1,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0,0,-16.3767019372912,-71.5256677530515,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,4,10,"Comm.Leaders"
"60","1.1.13.152",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.3766643869723,-71.5256190669985,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-17",0,7,7,NA,74,"ataque",1,1,1,1,1,1,4,16,"Comm.Leaders"
"61","1.1.13.153",1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-16.376634085808,-71.5255683881537,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-17",0,7,7,NA,63,"ataque",1,1,1,1,1,1,3,9,"Comm.Leaders"
"62","1.1.13.154",1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,-16.3765968575373,-71.5254850532068,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-07-13",0,3,3,NA,72,"ataque",1,1,1,1,1,1,4,12,"Comm.Leaders"
"63","1.1.13.155",0,1,1,NA,NA,NA,NA,NA,NA,0,0,6,0,0,0,0,0,-16.376574238802,-71.5254209236757,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,5,"Comm.Leaders"
"64","1.1.13.156",1,1,1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,-16.3765329173424,-71.5253612276318,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,1,7,6,"Comm.Leaders"
"65","1.1.13.157",1,1,1,1,1,0,0,0,0,2,3,1,0,0,0,0,2,-16.3764846021558,-71.5252980469215,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",0,23,23,NA,89,"domingos",1,1,1,1,1,1,10,11,"Comm.Leaders"
"66","1.1.13.158",1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-16.3764462598481,-71.5252167557606,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"R",NA,NA,NA,0,1,1,0,0,0,0,0,2,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,4,8,"Comm.Leaders"
"67","1.1.13.159",1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,-16.3764111190524,-71.5251459218197,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-14",0,4,4,NA,51,"ataque",1,1,1,1,1,1,10,7,"Comm.Leaders"
"68","1.1.13.16",1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,-16.3771077797352,-71.5258808834067,"ASOCIACION VILLA EL MIRADOR",1,"Control",5,1,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-14",0,11,11,NA,71,"ataque",1,1,1,1,1,1,6,12,"Control"
"69","1.1.13.160",1,1,1,1,1,0,0,0,0,1,5,1,0,0,0,0,0,-16.3763779418237,-71.5250905867534,"ASOCIACION VILLA EL MIRADOR",8,"Comm.Leaders",6,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-08-02",1,23,23,NA,63,"domingos",1,1,1,1,1,1,9,15,"Comm.Leaders"
